наименование;описание;цена;ссылка;картинки;размеры;цвета;код цвета;код разновидности
Куртка В-8515; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 800.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3153/?offer-id=3152; null http://snow-headquarter.ru/upload/resize_cache/iblock/85a/323_2000_140cd750bba9870f18aada2478b24840a/img_9862.png http://snow-headquarter.ru/upload/resize_cache/iblock/d82/323_2000_140cd750bba9870f18aada2478b24840a/img_9864.png http://snow-headquarter.ru/upload/resize_cache/iblock/3b2/323_2000_140cd750bba9870f18aada2478b24840a/img_9866.png http://snow-headquarter.ru/upload/resize_cache/iblock/d83/323_2000_140cd750bba9870f18aada2478b24840a/img_9860.png http://snow-headquarter.ru/upload/resize_cache/iblock/f1a/323_2000_140cd750bba9870f18aada2478b24840a/img_9863.png; S M L XL XXL; Цвет: Лимонно-жёлтый, Коралловый;2446;3152
Куртка В-8515; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 800.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3153/?offer-id=3152; null http://snow-headquarter.ru/upload/resize_cache/iblock/6f0/323_2000_140cd750bba9870f18aada2478b24840a/img_9854.png http://snow-headquarter.ru/upload/resize_cache/iblock/052/323_2000_140cd750bba9870f18aada2478b24840a/img_9857.png http://snow-headquarter.ru/upload/resize_cache/iblock/48d/323_2000_140cd750bba9870f18aada2478b24840a/img_9853.png http://snow-headquarter.ru/upload/resize_cache/iblock/cf4/323_2000_140cd750bba9870f18aada2478b24840a/img_9857.png http://snow-headquarter.ru/upload/resize_cache/iblock/890/323_2000_140cd750bba9870f18aada2478b24840a/img_9858.png; S M L XL XXL; Цвет: Лимонно-жёлтый, Коралловый;2591;3151
Куртка В-8522; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 800.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3150/?offer-id=3149; null http://snow-headquarter.ru/upload/resize_cache/iblock/783/323_2000_140cd750bba9870f18aada2478b24840a/img_0225.png http://snow-headquarter.ru/upload/resize_cache/iblock/477/323_2000_140cd750bba9870f18aada2478b24840a/img_0233.png http://snow-headquarter.ru/upload/resize_cache/iblock/dc3/323_2000_140cd750bba9870f18aada2478b24840a/img_0235.png http://snow-headquarter.ru/upload/resize_cache/iblock/12c/323_2000_140cd750bba9870f18aada2478b24840a/img_0227.png http://snow-headquarter.ru/upload/resize_cache/iblock/f46/323_2000_140cd750bba9870f18aada2478b24840a/img_0228.png http://snow-headquarter.ru/upload/resize_cache/iblock/260/323_2000_140cd750bba9870f18aada2478b24840a/img_0229.png http://snow-headquarter.ru/upload/resize_cache/iblock/6e2/323_2000_140cd750bba9870f18aada2478b24840a/img_0230.png; S M L XL XXL; Цвет: Темно-сиреневый, Розовый, Мятный, Коралловый;3148;3149
Куртка В-8522; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 800.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3150/?offer-id=3149; null http://snow-headquarter.ru/upload/resize_cache/iblock/c43/323_2000_140cd750bba9870f18aada2478b24840a/img_9908.png http://snow-headquarter.ru/upload/resize_cache/iblock/23e/323_2000_140cd750bba9870f18aada2478b24840a/img_9904.png http://snow-headquarter.ru/upload/resize_cache/iblock/f34/323_2000_140cd750bba9870f18aada2478b24840a/img_9907.png http://snow-headquarter.ru/upload/resize_cache/iblock/204/323_2000_140cd750bba9870f18aada2478b24840a/img_9911.png; S M L XL XXL; Цвет: Темно-сиреневый, Розовый, Мятный, Коралловый;2548;3147
Куртка В-8522; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 800.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3150/?offer-id=3149; null http://snow-headquarter.ru/upload/resize_cache/iblock/96f/323_2000_140cd750bba9870f18aada2478b24840a/img_0153.png http://snow-headquarter.ru/upload/resize_cache/iblock/9d4/323_2000_140cd750bba9870f18aada2478b24840a/img_0152.png http://snow-headquarter.ru/upload/resize_cache/iblock/7ac/323_2000_140cd750bba9870f18aada2478b24840a/img_0155.png http://snow-headquarter.ru/upload/resize_cache/iblock/2fc/323_2000_140cd750bba9870f18aada2478b24840a/img_0157.png http://snow-headquarter.ru/upload/resize_cache/iblock/097/323_2000_140cd750bba9870f18aada2478b24840a/img_0158.png http://snow-headquarter.ru/upload/resize_cache/iblock/f80/323_2000_140cd750bba9870f18aada2478b24840a/img_0161.png; S M L XL XXL; Цвет: Темно-сиреневый, Розовый, Мятный, Коралловый;2391;3146
Куртка В-8522; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 800.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3150/?offer-id=3149; null http://snow-headquarter.ru/upload/resize_cache/iblock/af8/323_2000_140cd750bba9870f18aada2478b24840a/img_0121.png http://snow-headquarter.ru/upload/resize_cache/iblock/008/323_2000_140cd750bba9870f18aada2478b24840a/img_0118.png http://snow-headquarter.ru/upload/resize_cache/iblock/6b3/323_2000_140cd750bba9870f18aada2478b24840a/img_0119.png http://snow-headquarter.ru/upload/resize_cache/iblock/197/323_2000_140cd750bba9870f18aada2478b24840a/img_0116.png http://snow-headquarter.ru/upload/resize_cache/iblock/b76/323_2000_140cd750bba9870f18aada2478b24840a/img_0122.png http://snow-headquarter.ru/upload/resize_cache/iblock/9ba/323_2000_140cd750bba9870f18aada2478b24840a/img_0123.png http://snow-headquarter.ru/upload/resize_cache/iblock/508/323_2000_140cd750bba9870f18aada2478b24840a/img_0125.png; S M L XL XXL; Цвет: Темно-сиреневый, Розовый, Мятный, Коралловый;2591;3145
Куртка В-8177; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 200.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3144/?offer-id=3143; null http://snow-headquarter.ru/upload/resize_cache/iblock/d67/323_2000_140cd750bba9870f18aada2478b24840a/img_0039.png http://snow-headquarter.ru/upload/resize_cache/iblock/80d/323_2000_140cd750bba9870f18aada2478b24840a/img_0033.png http://snow-headquarter.ru/upload/resize_cache/iblock/e77/323_2000_140cd750bba9870f18aada2478b24840a/img_0034.png http://snow-headquarter.ru/upload/resize_cache/iblock/85e/323_2000_140cd750bba9870f18aada2478b24840a/img_0035.png http://snow-headquarter.ru/upload/resize_cache/iblock/4a5/323_2000_140cd750bba9870f18aada2478b24840a/img_0036.png http://snow-headquarter.ru/upload/resize_cache/iblock/5d5/323_2000_140cd750bba9870f18aada2478b24840a/img_0037.png http://snow-headquarter.ru/upload/resize_cache/iblock/b52/323_2000_140cd750bba9870f18aada2478b24840a/img_0041.png; S M L XL XXL; Цвет: Белый, Зелёный, Джинсовый синий, Жёлтый, Красный;2541;3143
Куртка В-8177; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 200.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3144/?offer-id=3143; null http://snow-headquarter.ru/upload/resize_cache/iblock/d62/323_2000_140cd750bba9870f18aada2478b24840a/img_0174.png http://snow-headquarter.ru/upload/resize_cache/iblock/d2e/323_2000_140cd750bba9870f18aada2478b24840a/img_0173.png http://snow-headquarter.ru/upload/resize_cache/iblock/c98/323_2000_140cd750bba9870f18aada2478b24840a/img_0172.png http://snow-headquarter.ru/upload/resize_cache/iblock/69e/323_2000_140cd750bba9870f18aada2478b24840a/img_0171.png http://snow-headquarter.ru/upload/resize_cache/iblock/92b/323_2000_140cd750bba9870f18aada2478b24840a/img_0170.png http://snow-headquarter.ru/upload/resize_cache/iblock/0aa/323_2000_140cd750bba9870f18aada2478b24840a/img_0178.png http://snow-headquarter.ru/upload/resize_cache/iblock/b6b/323_2000_140cd750bba9870f18aada2478b24840a/img_0180.png; S M L XL XXL; Цвет: Белый, Зелёный, Джинсовый синий, Жёлтый, Красный;2477;3142
Куртка В-8177; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 200.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3144/?offer-id=3143; null http://snow-headquarter.ru/upload/resize_cache/iblock/447/323_2000_140cd750bba9870f18aada2478b24840a/img_0267.png http://snow-headquarter.ru/upload/resize_cache/iblock/946/323_2000_140cd750bba9870f18aada2478b24840a/img_0268.png http://snow-headquarter.ru/upload/resize_cache/iblock/618/323_2000_140cd750bba9870f18aada2478b24840a/img_0265.png http://snow-headquarter.ru/upload/resize_cache/iblock/c7b/323_2000_140cd750bba9870f18aada2478b24840a/img_0269.png http://snow-headquarter.ru/upload/resize_cache/iblock/537/323_2000_140cd750bba9870f18aada2478b24840a/img_0270.png http://snow-headquarter.ru/upload/resize_cache/iblock/2af/323_2000_140cd750bba9870f18aada2478b24840a/img_0272.png; S M L XL XXL; Цвет: Белый, Зелёный, Джинсовый синий, Жёлтый, Красный;2512;3141
Куртка В-8177; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 200.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3144/?offer-id=3143; null http://snow-headquarter.ru/upload/resize_cache/iblock/544/323_2000_140cd750bba9870f18aada2478b24840a/img_0100.png http://snow-headquarter.ru/upload/resize_cache/iblock/a83/323_2000_140cd750bba9870f18aada2478b24840a/img_0096.png http://snow-headquarter.ru/upload/resize_cache/iblock/94f/323_2000_140cd750bba9870f18aada2478b24840a/img_0102.png http://snow-headquarter.ru/upload/resize_cache/iblock/67f/323_2000_140cd750bba9870f18aada2478b24840a/img_0101.png http://snow-headquarter.ru/upload/resize_cache/iblock/67f/323_2000_140cd750bba9870f18aada2478b24840a/img_0103.png http://snow-headquarter.ru/upload/resize_cache/iblock/c3a/323_2000_140cd750bba9870f18aada2478b24840a/img_0105.png; S M L XL XXL; Цвет: Белый, Зелёный, Джинсовый синий, Жёлтый, Красный;2486;3140
Куртка В-8177; Женская горнолыжная куртка для активных девушек, которые ценят стиль и удобство. Разнообразие ярких расцветок этой куртки позволят Вам скомбинировать шикарный костюм с брюками, не оставят равнодушной ни одну современную модницу. Наличие вместительных карманов, утяжки на капюшоне позволят Вам ни о чем не беспокоиться. • Мембранная ткань: имеет не пористую структуру, что является большим преимуществом. • Утеплитель: DACRON, обеспечивает оптимальный тепловой баланс и прекрасную воздухопроницаемость. Это позволяет вам не замерзнуть на улице и не вспотеть в помещении. Внешняя фактура ткани более прочная и износостойкая, внутренняя – более мягкая и тонкая. • Водонепроницаемость: 10000 мм H2O. • Воздухопроницаемость 10000 гр./м2/24 часа. • Покрой: 3-D Air cutting, эргономичный трехмерный покрой, соответствующий всем требованиям к современной спортивной одежде. Вы абсолютно не чувствуете веса куртки при использовании, так как, при производстве одежды Phenix учитывается максимально эффективное распределение нагрузки ткани на тело. • Все молнии ламинированные. • Снегозащитная юбка из эластичной ткани • Два боковых кармана на молниях. • Съемный воротничок в области подбородка. • Вентиляция в области подмышек. • Фронтальная молния двухзамковая. Обеспечивает дополнительное удобство, когда вы сидите в куртке. • Внешние манжеты регулируются липучками Velcro. • Внутренние эластичные манжеты с отверстиями для больших пальцев, что позволяет сохранять комфортное тепло. • Все детали куртки скроены и сварены при помощи лазера (технология Seamless Laser Cutting) , что делает изделие полностью герметичным, легким и гарантирует идеальную посадку по фигуре.; 7 200.00 руб.; http://snow-headquarter.ru/catalog/women-s-jackets/3144/?offer-id=3143; null http://snow-headquarter.ru/upload/resize_cache/iblock/e0e/323_2000_140cd750bba9870f18aada2478b24840a/img_0048.png http://snow-headquarter.ru/upload/resize_cache/iblock/eb6/323_2000_140cd750bba9870f18aada2478b24840a/img_0044.png http://snow-headquarter.ru/upload/resize_cache/iblock/3eb/323_2000_140cd750bba9870f18aada2478b24840a/img_0045.png http://snow-headquarter.ru/upload/resize_cache/iblock/3be/323_2000_140cd750bba9870f18aada2478b24840a/img_0047.png http://snow-headquarter.ru/upload/resize_cache/iblock/9e9/323_2000_140cd750bba9870f18aada2478b24840a/img_0050.png http://snow-headquarter.ru/upload/resize_cache/iblock/dea/323_2000_140cd750bba9870f18aada2478b24840a/img_0049.png http://snow-headquarter.ru/upload/resize_cache/iblock/96b/323_2000_140cd750bba9870f18aada2478b24840a/img_0052.png; S M L XL XXL; Цвет: Белый, Зелёный, Джинсовый синий, Жёлтый, Красный;2384;3139
